Sl No,Zone,Organisational District,Organisational Mandal,LSG Name,LSG Type,Team,LSGI Coverage Date,Seat Call,BJP Seat Count,LDF Seat Count,UDF Seat Count,Independent/Others,Reasoning,
126,Thiruvananthapuram,Kollam West,Chathannoor,Adichanaloor,Grama Panchayat,Team 5,3 December,Deadheat,8-10,8-10,4-5,0-1,"BJP is in a dead heat with the LDF, with an edge in some wards, while 4–5 wards remain extremely close and likely to be decided by the final phase of campaigning. The party is receiving stronger support from traders and families with NRI ties, but Christian-dominated wards continue to pose challenges. Internal issues in a few areas are slowing down the BJP’s organisational work and limiting its prospects, and limited minority support remains another drawback.",
127,Thiruvananthapuram,Kollam West,Chathannoor,Chirakkara,Grama Panchayat,Team 5,2 December,BJP Behind,5-6,6-7,4-5,0-1,"The BJP had initially targeted 12 wards in Chirakkara Grama Panchayat including College Ward, Eram South, Uliyanadu, Chirakkara, Kulathoorkonam, Chirakkara Temple, Chirakkarathazham, Kuzhuppil, Nedungolam, Malakkayal, Nedungolam West and Vilappuram but after ground feedback, its realistic prospects have narrowed to just five wards: Kannetta, Kulathoorkonam, Chirakkara Temple, Nedungolam and Nedungolam West. The BJP remains behind overall due to a weak organisational structure, with party activity having declined significantly after the 2024 General Elections, coupled with poor candidate selection and the inability to bring back influential local leaders who are currently inactive. Due to these factors, the BJP is behind.",
128,Thiruvananthapuram,Kollam West,Chavara,Kollam,Corporation,Team 4,2 December,BJP Behind,,,,,"Post-delimitation, the 56 wards of Kollam Corporation reveal a clear pattern: the BJP’s prospects are heavily shaped by internal factionalism, poor candidate selection, and caste-based vote arithmetic, while the LDF relies on incumbency and community consolidation, and the UDF struggles with weak candidates and fragmented vote bases. In several winnable wards such as Pattathanam, Vadakkavila and Ammannada, the BJP has undermined its own chances by sidelining strong candidates like Denny Sir, allegedly due to the District President’s interference and favouritism, resulting in avoidable vote erosion. Where BJP retains structural advantages, such as Palathara, Kadappakada, Uliyakovil and Kannimel West-56, outcomes hinge on micro-level caste consolidation, especially NSS and SNDP, and the involvement of influential community figures. LDF remains competitive in its strongholds like Vadakkavila, College, Uliyakovil, Thevally and Shakthikulanagara, though anti-incumbency, developmental grievances and vote splits give BJP entry points in select divisions. UDF, meanwhile, emerges largely as a spoiler, with inactive or weak candidates likely to fragment traditional Nair and minority votes, especially in Thevally, Ayathil and Punthalathazham. The clearest BJP pickup opportunities lie in Kannimel West-56, Shakthikulanagara, Punthalathazham and Vallikeezhu, provided community alliances are activated and campaign discipline is restored. Seats like Uliyakovil, Thevally and Kadappakada remain dead-heat contests, where single-digit vote shifts will decide outcomes. Overall, BJP’s electoral ceiling is shaped less by opposition strength and more by internal sabotage, mismanagement of caste equations and missed opportunities in candidate placement.
",
129,Thiruvananthapuram,Kollam West,Karunagappally,Kulasekharapuram,Grama Panchayat,Team 5,5 December,,,,,,,
130,Thiruvananthapuram,Kollam West,Kundara,Elampalloor,Grama Panchayat,Team 5,4 December,Deadheat,7-8,7-8,4-5,,"BJP is currently in a dead-heat contest with LDF in the panchayat, and its initial projection of winning 14 wards has been revised to 8 confirmed wards with 2 remaining extremely close; the party is gaining in areas where candidates have strong community appeal, with heavy anti-incumbency in Kampikkada due to poor accessibility and bad roads benefiting BJP, supported by its past wins in 2010 and 2015, while in Kannayakuzhi, Thriveni and Colony, well-liked candidates such as Raji (ASHA worker) continue to attract strong voter support.",
131,Thiruvananthapuram,Kollam West,Kundara,Perinad,Grama Panchayat,Team 5,4 December,Deadheat,8-9,8-9,3-4,,,
132,Thiruvananthapuram,Kollam West,Mukhathala,Thrikkovilvattom,Grama Panchayat,Team 5,3 December,BJP Behind,6-7,10-12,7-8,,,
133,Thiruvananthapuram,Kollam West,Oachira,Thazhava,Grama Panchayat,Team 5,5 December,,,,,,,
134,Thiruvananthapuram,Kollam West,Paravoor,Kalluvathukkal,Grama Panchayat,Team 5,3 December,BJP Behind,6-7,9-10,2-3,1-2,"BJP has stepped up its activities compared to 2023, but respondents note that the party still trails in the overall panchayat due to organisational weaknesses and demographic disadvantages. The party remains weak in two Nair-dominant wards, largely because of a poor organisational structure and a limited worker base. Although internal disputes and structural issues from 2023 have been partly resolved, their lingering effects are still evident. BJP requires stronger coordination and more sustained ground-level work, and despite noticeable improvements, the party continues to remain behind in this election.",
135,Thiruvananthapuram,Kollam West,Paravoor,Poothakulam,Grama Panchayat,Team 5,2 December,BJP Behind,6-7,8-10,3-4,0-1,"Although this panchayat was a targeted one, the BJP initially aimed at six wards — Kottuvankonam, Poothakulam H S S, Punnekkulam, Stadium, Kalakkodu, and Perumkulam. After ground-level feedback, its realistic prospects have narrowed to wards such as Kottuvankonam, Mukkada, Ezhamvila, Poothakulam H S S, and Stadium, where the party is somewhat ahead. However, overall organisational weakness continues to be a major handicap, with campaign activity largely absent in many wards except the strongholds and the few where the BJP has a genuine chance, while in those stronger wards the campaign effort is notably better.",
136,Thiruvananthapuram,Kollam West,Paravoor,Paravoor,Municipality,Team 5,2 December,BJP Behind,7-8,17-18,4-5,1-2,"The BJP had initially targeted 17 wards in Paravur including Vinayakar, Parayilkav, Kochalummood, Pashuman, Peraal and Ollal but after ground feedback, its realistic prospects have narrowed to 8 wards- Perumpuzha, Vinayakar, Nedumgolam, Parayilkavu, Maniyamkulam, Railway Station, Town and Attinpuram, with Kurumandal and Puthiyidam emerging as additional deadheat contests. The BJP remains behind overall due to strong Muslim consolidation for the UDF, a weaker organisational setup, and its inability to field candidates in key wards such as Thekkumbhagam, Vaddukumbhagam and Chilakkal. Although both the LDF and UDF face rebels, the BJP has not been able to capitalise on these splits because of limited grassroots reach. Due to these factors, the BJP is behind",
137,Thiruvananthapuram,Kollam West,Thrikkadavoor,Panayam,Grama Panchayat,Team 5,4 December,,,,,,,
138,Thiruvananthapuram,Thiruvananthapuram North,Attingal,Attingal,Municipality,Team 9,2 December,Deadheat,10-12,20-22,4-5,N/A,"Attingal is likely to remain with the LDF, as the main contest is between LDF and BJP. LDF has strong organisation and good ground work.

BJP’s sitting wards — Town Hall, Karichiyil, LMS, and Poovanpara — are expected to stay with the party, though Karichiyil will be a tight fight since the sitting councillor’s wife is contesting.

Town Hall is the only BJP-held ward where retention is uncertain as the current caandidate is not a familiar canduidate.

UDF is not visible on the ground and is unlikely to make any impact.

LDF has already completed one full round of campaigning, while BJP is lagging behind in squad-level work.

In Thachoorkunnu ward, there is talk of a secret understanding between LDF and BJP, which is being used against the party and affecting silent campaign efforts.",Under R2 Review
139,Thiruvananthapuram,Thiruvananthapuram North,Attingal,Manamboor,Grama Panchayat,Team 9,2 December,,,,,,,
140,Thiruvananthapuram,Thiruvananthapuram North,Attingal,Ottoor,Grama Panchayat,Team 9,2 December,BJP Ahead,7,4,3,3,"Ottur has 13 seats, with BJP currently holding 3. After delimitation in Sivakonam, the ward now has a higher Muslim voter share, reducing BJP’s base, and BJP is likely to lose this ward.UDF is campaigning strongly, especially with targeted Muslim appeasement, giving them some advantage here.In wards 6, 8, and 2, the UDF is openly supporting an Independent candidate, while in the other 10 wards they have their own candidates. Overall ground work is strong on both sides, but BJP has a slight upper hand across the GP",
141,Thiruvananthapuram,Thiruvananthapuram North,Attingal,Vakkom,Grama Panchayat,Team 9,2 December,Deadheat,5 - 7,3,3,1,"The UDF is currently in power, but the incumbent is facing serious allegations — financial irregularities, bribery, favouritism, and a scandal related to the differently-abled children’s Kalolsavam — which are being used heavily against them.

BJP, currently the opposition with 5 seats, is expecting to win around 5–7 wards this time.

BJP’s performance as the opposition has also been weak, as they failed to effectively raise these allegations against the UDF.

The five sitting BJP councillors were denied tickets in this election, leading to internal issues.

One of them — Nisha Moni from the 4th ward — is contesting as a rebel, which is expected to split votes and may result in the loss of a sitting seat.",
142,Thiruvananthapuram,Thiruvananthapuram North,Chirayinkeezhu,Azhoor,Grama Panchayat,Team 9,5 December,,,,,,,
143,Thiruvananthapuram,Thiruvananthapuram North,Chirayinkeezhu,Mangalapuram,Grama Panchayat,Team 9,5 December,,,,,,,
144,Thiruvananthapuram,Thiruvananthapuram North,Kadakkavoor,Kizhuvilam,Grama Panchayat,Team 9,2 December,,,,,,,
145,Thiruvananthapuram,Thiruvananthapuram North,Kadakkavoor,Mudakkal,Grama Panchayat,Team 9,2 December,Deadheat,4 - 6 ,10,5- 6 ,0,"In Mudakkal, there is a tight fight between LDF and BJP. Both sides have strong organisation and solid ground work.

The Congress and LDF had earlier joined hands to prevent BJP from becoming the single largest force, and this move has created a negative impression among voters, raising doubts about their genuineness and credibility.BJP’s consistent support to local issues and its continuous protests against various atrocities have created a positive impact in the minds of the people, strengthening its acceptance on the ground.",
146,Thiruvananthapuram,Thiruvananthapuram North,Kilimanoor,Karavaram,Grama Panchayat,Team 9,4 December,,,,,,,
147,Thiruvananthapuram,Thiruvananthapuram North,Kilimanoor,Pulimath,Grama Panchayat,Team 9,4 December,BJP Behind,2 -3 ,9 - 10 ,7 - 9,1,"In Pulimath, BJP is facing organisational issues, though ground work is progressing well. Candidate selection disputes have created some internal friction.

The main contest is now between the fronts.

In Ward 15, a BJP rebel candidate, Shri Vijayakumar from the Nair community, is likely to get consolidated support, which may affect votes.

Despite these challenges, BJP is expected to retain its sitting wards.",
148,Thiruvananthapuram,Thiruvananthapuram North,Kilimanoor,Kilimanoor,Grama Panchayat,Team 9,4 December,BJP Behind,1- 3,8 to 9 ,4 - 6,0,"Kilimanoor has no major fight; it is a strong LDF area. Even though the UDF is currently in power, they are unlikely to retain it due to internal friction and factionalism, giving LDF a clear upper hand.
In Vilangara 3rd ward, the UDF candidate — an NRI who has just returned to contest — may take around 250 votes. If this happens and there is full Muslim consolidation for Ansar, BJP has a strong chance to win the ward.
BJP’s overall ground work in the area remains weak, indicating a likely organisational failure.",
149,Thiruvananthapuram,Thiruvananthapuram North,Navaikulam,Chemmaruthy,Grama Panchayat,Team 9,3 December,,,,,,,
150,Thiruvananthapuram,Thiruvananthapuram North,Navaikulam,Navayikulam,Grama Panchayat,Team 9,3 December,,,,,,,
151,Thiruvananthapuram,Thiruvananthapuram North,Navaikulam,Madavoor,Grama Panchayat,Team 9,3 December,,,,,,,
152,Thiruvananthapuram,Thiruvananthapuram North,Nedumangad,Nedumangad,Municipality,Team 9,3 December,BJP Behind,8 to 12,15to 17,9 to 10,1,"There is a tight competition between the LDF and BJP. At present, LDF holds 27 seats and BJP holds 4.
Among BJP’s sitting seats, Wanda and Netta have high chances of being retained. However, Tower and Mughavoor are relatively weak — the Mughavoor candidate  Sangeetha Rajesh is facing strong anti-incumbency, and the Tower ward candidate, Poovathur Jayan, has personal issues that are affecting voter relations.
In Pullpara ward, the LDF candidate Adv. Jayadevan is facing a challenge from Independent candidate Wanda Rajesh (ex-councillor). If Rajesh secures around 150 votes, BJP has a strong chance to win even though it is an LDF stronghold.
Town ward, Kollamkode, and Manakode also present favourable openings for BJP.
While the overall trend currently favours the LDF, the BJP has a realistic chance to improve its position significantly and emerge as the principal opposition.",
153,Thiruvananthapuram,Thiruvananthapuram North,Pothencode,Pothencode,Grama Panchayat,Team 9,3 December,BJP Behind,6 to 7,9 to 10 ,2 to 3,,"BJP currently has 4seats, all of which have a high chance of being retained. The party may slightly increase its ward count, but it will not be enough to win the panchayat outright.
There is strong anti-incumbency against the ruling LDF due to issues like bribery, poor road conditions, and water-related failures. However, BJP has not been able to fully capitalise on these issues or turn them into clear political advantage.
Muslim votes remain the major deciding factor in this panchayat. In a few wards, SDPI is also contesting; if SDPI secures around 25% of the vote, BJP’s chances become significantly better.

The UDF is struggling with internal group issues and does not hold a strong position either.
In the SC/ST Palakkottukonam colony, LDF workers were not welcomed this time because residents felt neglected after the last election. This has opened a window of opportunity for BJP.
If BJP adopts a strong, targeted strategy focusing on SC/ST communities and a section of Muslim voters, it has a realistic chance to make notable gains.",
154,Thiruvananthapuram,Thiruvananthapuram North,Vamanapuram,Kallara,Grama Panchayat,Team 9,4 December,BJP Behind,1 - 3 ,5 - 8,6 -12,0,"Kallara is a strong UDF area, and the main fight now is between the LDF and UDF. BJP's organisational strength of the panchayat is generally weak, adding to the uncertainty.

The sitting seat is witnessing a strong fight between BJP and UDF, making it one of the tighter wards.

The panchayat has a high Muslim population, which naturally gives the UDF an upper hand across multiple wards.",
155,Thiruvananthapuram,Thiruvananthapuram North,Vamanapuram,Vamanapuram,Grama Panchayat,Team 9,4 December,BJP Behind,2 - 3,5 - 8,5 - 7 ,N/A ,"In this area, visible anti-incumbency against the current LDF is the main reason giving the UDF an upper hand. People feel the LDF has not delivered as expected, which is directly helping the UDF’s campaign.

The contest remains very close, with both fronts actively fighting for key wards. While UDF benefits from the anti-incumbency mood, LDF still has organisational strength, making the overall battle tight.",
156,Thiruvananthapuram,Thiruvananthapuram North,Varkala,Elakamon,Grama Panchayat,Team 9,5 December,,,,,,,
157,Thiruvananthapuram,Thiruvananthapuram North,Varkala,Varkala,Municipality,Team 9,5 December,,,,,,,
158,Thiruvananthapuram,Thiruvananthapuram City,Kazhakkoottam,Thiruvananthapuram,Corporation,,,,,,,,,
159,Thiruvananthapuram,Thiruvananthapuram South,Aruvikkara,Vellanad,Grama Panchayat,Team 10,2 December,BJP Behind,,,,,"Field data shows big expectations (9–12 seats), but historically Vellanad is not a pro-BJP panchayat; in 2020 BJP won just one seat.
BJP’s rise is real, the party placed first/second in multiple wards in 2015 and 2020 and shows consistent seat growth, but it still lacks the final consolidation required to cross 50%.
The unfulfilled township promise in Ward 4 and poor governance in Veliynnur create genuine anti-incumbency, but these votes may split between LDF and UDF rather than consolidate fully behind BJP. Caste arithmetic is mixed: Nairs  with NSS backing NSS leaning BJP in parts Nadar Christians and minorities mostly with UDF
SC/Christian clusters remain non-BJP.
Multi-corner fights in wards like 17 (Veerashaiva bloc), and multiple wards with UDF–LDF competition dilute BJP gains.",
160,Thiruvananthapuram,Thiruvananthapuram South,Balaramapuram,Balaramapuram,Grama Panchayat,Team 10,4 December,Deadheat,7 - 8 ,8 - 10,4 - 5,0 - 2,"LDF is currently positioned strongest in the panchayat. BJP is projected to secure around 7–8 seats but faces a clear ceiling, as Muslim voters consistently align with UDF or LDF. Although UDF presently controls the panchayat, several wards show a discernible shift toward LDF, supported by stronger ground-level mobilisation. UDF remains competitive, but LDF appears better placed to consolidate emerging voter sentiment. BJP’s scope for expansion beyond its core wards remains limited due to demographic realities, and broader socio-political issues, such as Sabarimala swarnapali, do not significantly influence voter behaviour. Instead, preferences are largely driven by individual candidates rather than issue-based alignment. However, competittive fight by BJP can be expected.",
161,Thiruvananthapuram,Thiruvananthapuram South,Balaramapuram,Kottukal,Grama Panchayat,Team 10,4 December,BJP Behind,3 - 4,7 - 8 ,10,0 - 2,"Current assessments indicate a slight edge for the UDF, which is expected to secure around 10 seats, with the LDF likely at seven and the BJP at 2–5. UDF appears to be benefitting from coordinated efforts and strong candidate placement. BJP’s performance, despite having favourable community pockets, is affected by less campaign efforts. ",
162,Thiruvananthapuram,Thiruvananthapuram South,Kattakkada,Maranallur,Grama Panchayat,Team 10,4 December,Deadheat,8 - 9,8  - 9,4 - 5,0,"The panchayat’s voter profile comprises roughly 50% Nadars, 20–30% Nairs, 15% SNDP/Ezhavas, 5% Latin Catholics, and a small Muslim population. Nadar Hindu support for BJP remains selective and largely tied to individual candidates. Contest patterns vary, with some wards seeing direct BJP–UDF contests, others BJP–LDF, and a few triangular fights.  Local interactions indicate that electoral behaviour is shaped more by caste dynamics and candidate-level engagement than by broader infrastructure or socio-economic issues.",
163,Thiruvananthapuram,Thiruvananthapuram South,Kattakkada,Vilappil,Grama Panchayat,Team 10,2 December,Deadheat,,,,,"Several multi-corner fights (e.g., SC woman-reserved Vilappilsala where vote trading likely).
Fragmented Hindu vote patterns in Velamkadavu, and Mayiladi (weak wards).
LDF and UDF both alive in several central wards, making the arithmetic unpredictable. Field mapping shows 8–10 strong or strong-lean BJP wards:
Nooriyod (70%), Karode (95%), Puttumelkonam, Cherukode, Karuvilanchi (triangular), Chovallur (Christian-independent backed by BJP). Christian-backed independent in Chovallur improves BJP’s prospects but does not guarantee shift in nearby wards. The multi-front balance means BJP is competitive in many wards but the combined UDF+LDF/independent presence still gives BJP a small gap to close , close outcome but BJP slightly behind in aggregate. Local issues (waste management, roads) are likely to swing marginal wards.",
164,Thiruvananthapuram,Thiruvananthapuram South,Kovalam,Kalliyoor,Grama Panchayat,Team 10,5 December,,,,,,,
165,Thiruvananthapuram,Thiruvananthapuram South,Kovalam,Venganoor,Grama Panchayat,Team 10,5 December,,,,,,,
166,Thiruvananthapuram,Thiruvananthapuram South,Malayinkeezhu,Malayinkeezhu,Grama Panchayat,Team 10,2 December,BJP Behind,,,,,"Malayinkeezhu has a large Nair majority (around 60%), but the traditional local dynamic here does not fully consolidate in favour of the BJP unlike neighbouring Vilappil-vilavoorkal belt. A portion of Nair votes, even though culturally inclined towards BJP issues, still splits between UDF and LDF due to strong personal networks and old political loyalties. BJP is competitive in several wards but not ahead overall.",
167,Thiruvananthapuram,Thiruvananthapuram South,Malayinkeezhu,Pallichal,Grama Panchayat,Team 10,4 December,BJP Behind,2,10 - 12,8,0,"BJP’s decline from previous strength reflects dissatisfaction over candidate selection and the absence of familiar local leaders, which has weakened their standing even in traditional areas. LDF’s organisational gaps have redirected advantage toward UDF, while voter feedback emphasises candidate preference over broader issues. These dynamics collectively place BJP behind.",
168,Thiruvananthapuram,Thiruvananthapuram South,Malayinkeezhu,Vilavoorkal,Grama Panchayat,Team 10,2 December,BJP Ahead,,,,,"Vilavoorkal has strong structural conditions favouring BJP:75% Hindu population, 40%+ Nair share, strong NSS backing.
Field data shows 10 winnable wards where BJP workers and booth-level teams are active. Anti-incumbency against LDF is severe: LIFE housing not implemented, no major development, significant public anger in interior wards. UDF’s advantage in Christian-majority wards (12, 17, 13) limits BJP from sweeping, but does not affect the larger Hindu-majority blocks.",
169,Thiruvananthapuram,Thiruvananthapuram South,Neyyattinkara,Athiyannoor,Grama Panchayat,Team 10,5 December,,,,,,,
170,Thiruvananthapuram,Thiruvananthapuram South,Neyyattinkara,Neyattinkara,Municipality,Team 10,5 December,,,,,,,
171,Thiruvananthapuram,Thiruvananthapuram South,Parassala,Kollayil,Grama Panchayat,Team 10,3 December,BJP Behind,4-5,7-8,5,,"Local dynamics present a challenge. Wards 1, 2, 3, 6, and 7 are witnessing intense triangular contests and tight fights, indicating a highly volatile electorate. Nadar christian votes which comes above 50 percent lean towards UDF.",
172,Thiruvananthapuram,Thiruvananthapuram South,Parassala,Perumkadavila,Grama Panchayat,Team 10,3 December,Deadheat,6-7,6,4,," While there is significant optimism regarding Aruvippuram and general seats, operational challenges in candidate selection (Wards 9 and 14) and strong triangular contests in other wards have leveled the playing field.",
173,Thiruvananthapuram,Thiruvananthapuram South,Vellarada,Aryankode,Grama Panchayat,Team 10,3 December,BJP Behind,2-4,8-9,4,,"three wards (7, 8 and 12) are structurally weak, with Ward 12 remaining a firm CPM stronghold. Key battlegrounds like Wards 2, 14 and 16 do not offer assured consolidation, Nair votes are fragmented, SC reserved Ward 14 has only moderate chances, and Ward 16 saw BJP fail to attract community support.",
174,Thiruvananthapuram,Thiruvananthapuram South,Vellarada,Kallikkadu,Grama Panchayat,Team 10,3 December,BJP Ahead,7-8,3,3,,"A positive shift in voter sentiment is evident, particularly with the reduction of historical aversion within the Nadar community. A  performance (10 seats) supported by consolidated Nair votes.",
175,Thiruvananthapuram,Thiruvananthapuram South,Vellarada,Ottasekaramangalam,Grama Panchayat,Team 10,3 December,BJP Behind,3-4,,,,"Structural hurdles in regaining lost ground (from 4 seats in 2015 down to 2 in 2020). Wards 7, 8, and 12 remain challenging strongholds for the opposition, and the necessary consolidation of Nair and SC community votes has yet to fully materialize.",
